,adobe-source-han-sans-cn-fonts,"Adobe Source Han Sans Subset OTF - Simplified Chinese OpenType/CFF fonts"
,adobe-source-han-sans-jp-fonts,"Adobe Source Han Sans Subset OTF - Japanese OpenType/CFF fonts"
,adobe-source-han-sans-kr-fonts,"Adobe Source Han Sans Subset OTF - Korean OpenType/CFF fonts"
,adobe-source-han-sans-hk-fonts,"Adobe Source Han Sans Subset OTF - Traditional Chinese (Hong Kong) OpenType/CFF fonts"
,adobe-source-han-sans-tw-fonts,"Adobe Source Han Sans Subset OTF - Traditional Chinese (Taiwan) OpenType/CFF fonts"
,adobe-source-sans-fonts,"Sans-serif font family for user interface environments"
,adobe-source-serif-fonts,"Serif typeface designed to complement Source Sans"
,adobe-source-han-serif-cn-fonts,"Adobe Source Han Serif Subset OTF - Simplified Chinese OpenType/CFF fonts"
,awesome-terminal-fonts,"fonts/icons for powerlines"
,noto-fonts,"Google Noto TTF fonts"
,noto-fonts-extra,"Google Noto TTF fonts - additional variants"
,noto-fonts-emoji,"Google Noto emoji fonts"
,noto-fonts-cjk,"Google Noto CJK fonts"
,otf-font-awesome,"Iconic font designed for Bootstrap"
,terminus-font,"Monospace bitmap font (for X11 and console)"
,ttf-anonymous-pro,"A family of four fixed-width fonts designed especially with coding in mind"
,ttf-bitstream-vera,"Bitstream Vera fonts"
,ttf-caladea,"A serif font family metric-compatible with Cambria font family"
,ttf-carlito,"Google's Carlito font"
,ttf-cascadia-code,"A monospaced font by Microsoft that includes programming ligatures"
,ttf-cormorant,"Open-source display font family"
,ttf-croscore,"Chrome OS core fonts"
,ttf-dejavu,"Font family based on the Bitstream Vera Fonts with a wider range of characters"
,ttf-droid,"General-purpose fonts released by Google as part of Android"
,ttf-eurof,"The original eurofurence font designed for headlines, signs, badges, inscriptions, et al"
,ttf-fantasque-sans-mono,"Font family with a great monospaced variant for programmers"
,ttf-fira-code,"Monospaced font with programming ligatures"
,ttf-fira-mono,"Mozilla's monospace typeface designed for Firefox OS"
,ttf-fira-sans,"Mozilla's sans-serif typeface designed for Firefox OS"
,ttf-font-awesome,"Iconic font designed for Bootstrap"
,ttf-hack,"A hand groomed and optically balanced typeface based on Bitstream Vera Mono"
,ttf-hannom,"Chinese and Vietnamese TrueType fonts"
,ttf-ibm-plex,"IBM Plex Mono, Sans, and Serif"
,ttf-inconsolata,"Monospace font for pretty code listings and for the terminal"
,ttf-jetbrains-mono,"Typeface for developers, by JetBrains"
,ttf-joypixels,"Emoji as a Service (formerly EmojiOne)"
,ttf-lato,"A sanserif typeface family bearing the Polish name of 'Summer'"
,ttf-liberation,"Font family which aims at metric compatibility with Arial, Times New Roman, and Courier New"
,ttf-linux-libertine,"Serif (Libertine) and Sans Serif (Biolinum) OpenType fonts with large Unicode coverage"
,ttf-linux-libertine-g,"Graphite port of Linux Libertine and Linux Biolinum fonts"
,ttf-monofur,"A monospaced font derived from the eurofurence typeface family"
,ttf-nerd-fonts-symbols-mono,"High number of extra glyphs from popular 'iconic fonts' (1000-em)"
,ttf-opensans,"Sans-serif typeface commissioned by Google"
,ttf-proggy-clean,"Monospaced fonts for programming"
,ttf-roboto,"Google's signature family of fonts"
,ttf-roboto-mono,"A monospaced addition to the Roboto type family"
,ttf-ubuntu-font-family,"Ubuntu font family"
,wqy-zenhei,"A Hei Ti Style (sans-serif) Chinese Outline Font"
,wqy-microhei,"A Sans-Serif style high quality CJK outline font"
